Active,Vehicle License Number,Name,License Type,Expiration Date,Permit License Number,DMV License Plate Number,Vehicle VIN Number,Wheelchair Accessible,Certification Date,Hack Up Date,Vehicle Year,Base Number,Base Name,Base Type,VEH,Base Telephone Number,Website,Base Address,Reason,Order Date,Last Date Updated,Last Time Updated
YES,5163323,"KITAYCHIK,VALERY",For Hire Vehicle,02/24/2028,,T622029C,LVY062AE2SP452748,,,,2025,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5256218,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,03/19/2027,,COMM330,1GNSKBKD1PR191875,,,,2023,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5273992,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,09/18/2027,,COMM186,1GNSKBKD1PR191293,,,,2023,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5274097,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,09/19/2027,,COMM187,1GNSKBKD1RR233660,,,,2024,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5275294,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,10/02/2027,,COMM184,1GNSKBKD7RR233386,,,,2024,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5276185,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,10/11/2027,,COMM197,1GNSKBKD3RR233384,,,,2024,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5279698,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,11/15/2027,,COMM221,1GNSKBKD5RR233712,,,,2024,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5282483,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,12/14/2027,,COMM227,1GNSKBKD6RR233265,,,,2024,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5412887,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,10/05/2027,,COMM290,1GNSKCKDXRR168085,,,,2024,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
YES,5413594,"COMMONWEALTH,WORLDWIDE,CHAUFF,TRANS,OF,NY,LLC",For Hire Vehicle,10/13/2027,,COMM299,1GNSKBKD3PR126980,,,,2023,B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,LLC.",LUXURY,,(718) 706-5500,SRUTTER@COMMONWEALTHLIMO.COM,191 HIGH STREET WALTHAM MA 02453,G,,09/02/2026,14:00
